1, Gran Vía, Madrid, Madrid
2, Paseo de la Castellana, Madrid, Madrid
3, Calle Fuencarral, Madrid, Madrid
4, Gran Vía de Colón, Barcelona, Barcelona
5, La Rambla, Barcelona, Barcelona
6, Avinguda Diagonal, Barcelona, Barcelona
7, Calle de Serrano, Valencia, Valencia
8, Gran Vía de Marqués del Turia, Valencia, Valencia
9, Calle de la Paz, Sevilla, Sevilla
10, Avenida de la Constitución, Sevilla, Sevilla
11, Gran Vía, Málaga, Málaga
12, Calle Larios, Málaga, Málaga
13, Paseo de la Misericordia, Zaragoza, Zaragoza
14, Calle Mayor, Zaragoza, Zaragoza
15, Gran Vía, Bilbao, Bizkaia
16, Calle Elcano, Bilbao, Bizkaia
17, Gran Vía, Murcia, Murcia
18, Calle Trapería, Murcia, Murcia
19, Gran Vía, Palma, Illes Balears
20, Calle Jaume I, Palma, Illes Balears
21, Gran Vía, Las Palmas de Gran Canaria, Las Palmas
22, Calle Triana, Las Palmas de Gran Canaria, Las Palmas
23, Gran Vía, A Coruña, A Coruña
24, Calle Real, A Coruña, A Coruña
25, Gran Vía, Santander, Cantabria
26, Calle Calvo Sotelo, Santander, Cantabria
