1234ABC,Corolla,Toyota,Blanco
5678DEF,Fiesta,Ford,Azul
9012GHI,Golf,Volkswagen,Negro
3456JKL,C3,Citroën,Gris
7890MNO,208,Peugeot,Rojo
1234QRS,Clio,Renault,Amarillo
5678TUV,Panda,Fiat,Verde
9012WX,Corsa,Opel,Naranja
3456XYZ,i20,Hyundai,Morado
7890ABC,Rio,Kia,Rosa
1234DEF,Serie 3,BMW,Plateado
5678GHI,Clase A,Mercedes-Benz,Blanco
9012JKL,A3,Audi,Negro
3456MNO,XC40,Volvo,Gris
7890QRS,Discovery Sport,Land Rover,Azul
1234TUV,Macan,Porsche,Rojo
5678WX,Portofino,Ferrari,Amarillo
9012XYZ,Huracán,Lamborghini,Verde
3456ABC,Ghibli,Maserati,Naranja
7890DEF,DB11,Aston Martin,Morado
